student_id,question_id,correct,time_taken,attempts
STU1327,Q10923,0,8.99,4
STU1122,Q10397,1,97.7,1
STU1214,Q10581,1,86.86,1
STU1350,Q10382,1,94.83,1
STU1374,Q10295,1,118.99,1
STU1458,Q10268,0,10.31,2
STU1076,Q10023,0,523.54,3
STU1100,Q10947,1,67.43,1
STU1405,Q10123,1,90.44,1
STU1370,Q10933,0,14.74,3
STU1342,Q10561,1,51.46,3
STU1453,Q10256,1,79.96,3
STU1482,Q10619,1,81.45,1
STU1267,Q10378,1,76.46,1
STU1382,Q10468,1,46.37,1
STU1263,Q10266,1,34.63,1
STU1006,Q10204,1,94.1,3
STU1414,Q10083,1,83.45,1
STU1139,Q10879,1,61.54,1
STU1330,Q10873,0,283.28,1
STU1325,Q10621,1,74.76,2
STU1045,Q10807,0,156.59,4
STU1395,Q10375,1,36.45,1
STU1271,Q10522,0,18.06,1
STU1281,Q10172,1,98.99,1
STU1100,Q10982,1,116.77,1
STU1062,Q10607,1,87.0,1
STU1360,Q10966,1,80.28,1
STU1323,Q10380,0,30.72,1
STU1239,Q10954,1,99.63,1
STU1234,Q10802,0,24.74,2
STU1274,Q10177,1,62.72,1
STU1290,Q10620,1,87.07,1
STU1460,Q10151,0,202.32,1
STU1425,Q10571,0,20.06,1
STU1007,Q10444,0,22.88,2
STU1407,Q10869,1,123.51,1
STU1323,Q10056,1,61.85,1
STU1272,Q10840,0,21.6,1
STU1087,Q10543,1,114.74,1
STU1039,Q10866,0,305.71,2
STU1294,Q10772,0,8.02,4
STU1465,Q10096,0,246.96,1
STU1221,Q10724,0,30.89,1
STU1102,Q10022,1,117.22,1
STU1089,Q10642,1,77.73,1
STU1148,Q10210,1,53.19,1
STU1058,Q10900,1,93.74,1
STU1071,Q10821,1,60.79,1
STU1108,Q10076,0,18.7,1
STU1273,Q10205,1,76.43,1
STU1410,Q10653,0,273.75,1
STU1048,Q10369,1,113.41,1
STU1495,Q10775,1,80.93,1
STU1146,Q10603,1,88.97,2
STU1283,Q10808,1,35.19,3
STU1030,Q10891,1,81.07,1
STU1340,Q10068,1,124.24,1
STU1005,Q10784,0,8.86,4
STU1067,Q10440,0,14.73,1
STU1493,Q10269,1,40.16,1
STU1426,Q10387,0,279.99,2
STU1066,Q10228,1,78.61,1
STU1160,Q10393,0,8.31,1
STU1421,Q10342,1,80.75,1
STU1403,Q10602,0,12.72,1
STU1107,Q10112,1,64.61,1
STU1203,Q10669,1,31.52,1
STU1450,Q10058,1,57.4,1
STU1377,Q10462,1,111.17,1
STU1350,Q10174,1,100.1,1
STU1120,Q10792,1,96.67,1
STU1007,Q10445,1,68.09,3
STU1023,Q10060,1,86.36,2
STU1367,Q10084,1,63.03,1
STU1021,Q10471,1,41.55,3
STU1167,Q10125,1,86.17,1
STU1168,Q10019,1,98.43,1
STU1337,Q10734,0,12.27,1
STU1495,Q10208,1,112.74,1
STU1209,Q10617,0,320.97,1
STU1146,Q10015,1,60.78,3
STU1443,Q10577,1,92.09,1
STU1404,Q10930,0,250.42,1
STU1066,Q10850,0,22.56,2
STU1468,Q10191,0,315.08,4
STU1464,Q10336,1,41.42,1
STU1134,Q10954,1,97.53,1
STU1396,Q10094,1,97.95,1
STU1082,Q10744,1,75.19,1
STU1329,Q10140,1,101.58,1
STU1301,Q10250,1,116.42,2
STU1362,Q10724,0,336.4,1
STU1308,Q10180,1,93.86,1
STU1024,Q10692,0,9.61,1
STU1126,Q10397,1,82.9,1
STU1164,Q10985,1,59.42,1
STU1049,Q10045,0,448.68,1
STU1398,Q10215,0,339.52,1
STU1232,Q10367,1,74.92,1
STU1136,Q10758,0,15.17,1
STU1061,Q10622,1,60.75,3
STU1246,Q10147,0,230.04,1
STU1156,Q10408,0,271.59,4
STU1447,Q10506,1,71.23,3
STU1329,Q10022,1,48.63,1
STU1135,Q10358,1,102.09,3
STU1428,Q10013,1,90.13,2
STU1282,Q10469,1,41.01,1
STU1396,Q10670,1,59.46,3
STU1035,Q10859,0,25.63,1
STU1029,Q10298,1,57.72,1
STU1443,Q10044,1,116.28,1
STU1229,Q10224,1,76.0,2
STU1267,Q10407,1,98.62,3
STU1472,Q10266,0,190.79,1
STU1203,Q10402,1,69.28,1
STU1320,Q10177,1,68.69,2
STU1330,Q10854,0,205.82,4
STU1000,Q10005,0,351.58,1
STU1094,Q10388,0,15.2,1
STU1328,Q10850,1,67.74,3
STU1384,Q10894,1,84.11,1
STU1122,Q10165,0,34.37,3
STU1485,Q10118,1,78.81,3
STU1244,Q10818,1,72.54,1
STU1495,Q10351,0,232.14,4
STU1132,Q10261,1,77.92,1
STU1461,Q10334,1,86.46,1
STU1240,Q10572,0,12.24,3
STU1294,Q10151,0,25.93,3
STU1105,Q10500,1,78.95,1
STU1349,Q10103,1,82.19,1
STU1327,Q10822,1,87.74,3
STU1443,Q10917,1,43.85,1
STU1271,Q10551,0,11.32,3
STU1232,Q10323,1,51.29,3
STU1197,Q10959,0,27.98,4
STU1499,Q10692,0,381.74,1
STU1230,Q10968,0,21.54,1
STU1462,Q10107,1,68.54,2
STU1354,Q10200,1,126.8,1
STU1055,Q10261,0,220.77,1
STU1459,Q10847,0,407.28,3
STU1312,Q10308,1,40.36,1
STU1220,Q10327,0,13.97,1
STU1005,Q10507,1,81.63,1
STU1402,Q10942,0,19.86,1
STU1453,Q10141,1,71.11,2
STU1130,Q10832,1,90.77,1
STU1151,Q10218,1,79.38,1
STU1029,Q10253,1,64.02,1
STU1237,Q10159,1,71.64,2
STU1261,Q10687,0,34.15,1
STU1125,Q10940,0,16.41,3
STU1491,Q10984,1,71.58,1
STU1203,Q10703,0,403.09,3
STU1317,Q10413,1,90.95,2
STU1157,Q10231,0,23.24,4
STU1340,Q10044,1,55.41,1
STU1154,Q10223,1,131.02,2
STU1038,Q10189,1,27.58,1
STU1272,Q10865,0,25.83,1
STU1160,Q10431,0,14.35,1
STU1040,Q10482,1,109.06,1
STU1094,Q10452,0,394.56,1
STU1050,Q10000,1,55.56,1
STU1252,Q10574,1,100.83,2
STU1294,Q10525,1,57.86,2
STU1135,Q10138,0,20.2,3
STU1236,Q10767,0,14.07,4
STU1275,Q10151,0,335.36,4
STU1473,Q10818,1,101.27,1
STU1373,Q10594,1,94.81,1
STU1448,Q10992,1,28.19,2
STU1292,Q10256,0,19.34,1
STU1222,Q10152,1,100.19,1
STU1426,Q10126,1,127.74,1
STU1322,Q10538,0,21.55,1
STU1203,Q10293,0,8.45,1
STU1470,Q10248,1,25.41,1
STU1464,Q10618,1,36.8,2
STU1435,Q10626,0,218.42,2
STU1382,Q10186,1,50.25,1
STU1136,Q10636,0,32.29,1
STU1124,Q10630,1,30.97,2
STU1130,Q10579,1,112.73,1
STU1136,Q10875,0,447.82,1
STU1282,Q10729,0,20.25,3
STU1470,Q10009,1,29.74,1
STU1191,Q10500,0,24.27,1
STU1491,Q10585,1,128.38,1
STU1351,Q10990,1,60.94,1
STU1160,Q10503,1,39.93,2
STU1337,Q10180,1,64.08,3
STU1227,Q10692,0,16.98,1
STU1152,Q10521,0,332.76,2
STU1167,Q10356,0,183.61,1
STU1005,Q10273,1,113.47,1
STU1064,Q10830,1,121.99,1
STU1168,Q10604,1,90.89,1
STU1196,Q10383,0,228.05,1
STU1101,Q10741,1,112.17,1
STU1297,Q10835,1,45.81,1
STU1292,Q10439,1,125.18,1
STU1299,Q10067,0,25.04,2
STU1285,Q10286,1,58.07,1
STU1427,Q10775,1,85.85,2
STU1195,Q10185,1,49.4,1
STU1378,Q10836,0,35.18,1
STU1214,Q10034,1,35.27,1
STU1118,Q10105,0,8.2,2
STU1185,Q10922,1,36.62,1
STU1489,Q10440,1,87.88,3
STU1083,Q10959,1,146.34,1
STU1383,Q10521,1,31.77,1
STU1402,Q10578,0,188.13,1
STU1127,Q10843,1,86.74,3
STU1078,Q10042,1,80.58,1
STU1341,Q10328,1,54.48,1
STU1367,Q10315,1,87.09,1
STU1143,Q10284,1,21.62,2
STU1004,Q10634,1,87.87,1
STU1371,Q10566,1,36.5,2
STU1350,Q10971,0,34.33,3
STU1083,Q10441,0,35.36,1
STU1217,Q10218,0,26.22,1
STU1412,Q10318,0,8.35,1
STU1214,Q10996,0,362.63,1
STU1421,Q10023,1,77.79,1
STU1380,Q10881,1,71.28,1
STU1146,Q10285,1,60.55,2
STU1255,Q10073,1,86.5,3
STU1434,Q10223,1,49.25,3
STU1472,Q10688,0,507.27,1
STU1025,Q10235,0,21.25,1
STU1037,Q10006,0,26.54,2
STU1192,Q10554,1,110.0,1
STU1274,Q10577,1,43.16,3
STU1124,Q10505,0,18.88,4
STU1209,Q10963,1,127.38,1
STU1345,Q10840,1,28.33,1
STU1303,Q10745,1,90.48,1
STU1273,Q10443,1,109.22,1
STU1205,Q10930,0,12.58,1
STU1478,Q10998,0,400.58,1
STU1436,Q10741,0,8.55,1
STU1051,Q10858,0,7.65,1
STU1383,Q10316,1,122.99,2
STU1273,Q10798,1,50.02,2
STU1318,Q10020,0,18.51,1
STU1416,Q10120,1,137.19,1
STU1043,Q10794,1,101.49,1
STU1278,Q10936,0,16.56,1
STU1340,Q10282,1,31.35,1
STU1220,Q10392,0,10.14,2
STU1076,Q10347,0,17.28,1
STU1283,Q10799,1,41.06,3
STU1081,Q10196,0,17.84,1
STU1498,Q10359,0,27.87,4
STU1068,Q10878,0,260.06,2
STU1106,Q10492,1,103.35,1
STU1385,Q10857,1,38.55,2
STU1006,Q10246,0,313.64,1
STU1244,Q10117,1,59.07,1
STU1390,Q10851,1,102.36,1
STU1282,Q10147,0,316.97,1
STU1323,Q10241,1,73.85,3
STU1440,Q10872,0,20.11,1
STU1434,Q10780,0,25.08,2
STU1351,Q10690,1,73.3,1
STU1067,Q10801,0,20.75,4
STU1384,Q10409,1,120.73,1
STU1321,Q10939,1,122.04,3
STU1486,Q10107,1,56.63,3
STU1319,Q10259,1,64.99,1
STU1383,Q10055,1,55.7,1
STU1314,Q10058,1,87.81,1
STU1404,Q10787,0,21.05,1
STU1498,Q10442,0,9.31,4
STU1338,Q10699,1,34.67,1
STU1134,Q10987,1,80.42,1
STU1484,Q10392,0,11.9,1
STU1313,Q10799,1,79.57,1
STU1403,Q10632,1,75.9,2
STU1367,Q10647,1,44.78,1
STU1333,Q10577,0,408.37,1
STU1267,Q10301,1,108.27,1
STU1081,Q10548,0,358.3,2
STU1068,Q10691,1,66.53,3
STU1239,Q10894,1,52.35,3
STU1158,Q10048,1,48.8,1
STU1301,Q10383,0,17.38,1
STU1019,Q10673,0,25.4,4
STU1364,Q10562,1,74.12,1
STU1109,Q10034,1,122.63,3
STU1417,Q10071,1,97.56,2
STU1483,Q10161,1,63.3,1
STU1018,Q10376,1,124.44,2
STU1252,Q10992,1,62.99,1
STU1196,Q10265,1,94.34,1
STU1390,Q10829,1,141.6,2
STU1490,Q10968,1,71.06,1
STU1262,Q10201,0,559.62,3
STU1448,Q10021,0,29.78,3
STU1133,Q10750,1,81.49,1
STU1137,Q10672,0,14.83,1
STU1081,Q10581,0,18.97,2
STU1416,Q10612,0,17.47,4
STU1126,Q10469,1,60.39,3
STU1276,Q10685,0,140.1,4
STU1484,Q10347,0,19.82,1
STU1004,Q10725,0,10.84,3
STU1491,Q10111,0,24.85,2
STU1151,Q10092,1,113.02,3
STU1329,Q10929,1,58.1,1
STU1168,Q10675,1,113.54,1
STU1381,Q10328,1,42.51,2
STU1360,Q10460,1,55.76,1
STU1321,Q10334,1,105.48,2
STU1276,Q10803,0,11.6,4
STU1468,Q10360,1,53.43,1
STU1145,Q10137,1,86.74,1
STU1277,Q10774,1,90.45,3
STU1073,Q10023,1,86.0,1
STU1181,Q10812,1,32.54,1
STU1421,Q10391,1,72.7,1
STU1100,Q10293,0,18.2,2
STU1479,Q10272,0,23.88,1
STU1045,Q10001,1,95.22,1
STU1344,Q10502,1,82.84,1
STU1015,Q10635,1,54.3,1
STU1225,Q10727,0,34.3,1
STU1131,Q10648,1,68.21,1
STU1301,Q10004,1,65.81,1
STU1470,Q10863,1,89.35,1
STU1226,Q10149,1,38.79,1
STU1259,Q10513,1,101.61,2
STU1358,Q10143,1,57.75,1
STU1047,Q10363,0,12.12,1
STU1469,Q10881,0,10.73,1
STU1178,Q10635,0,275.76,3
STU1361,Q10591,1,66.68,1
STU1473,Q10944,0,313.29,1
STU1096,Q10973,0,19.61,3
STU1078,Q10876,1,34.6,3
STU1314,Q10107,1,98.79,1
STU1339,Q10468,1,84.08,1
STU1364,Q10812,0,508.1,3
STU1439,Q10684,1,85.13,1
STU1227,Q10302,1,82.9,1
STU1438,Q10557,1,94.39,3
STU1264,Q10567,0,194.37,3
STU1222,Q10749,0,21.56,1
STU1456,Q10023,0,317.02,4
STU1451,Q10384,1,33.83,3
STU1478,Q10683,0,9.91,2
STU1168,Q10814,1,72.29,1
STU1409,Q10243,1,93.57,1
STU1434,Q10010,1,39.96,3
STU1034,Q10155,1,34.91,1
STU1020,Q10412,0,12.53,3
STU1359,Q10105,1,121.64,1
STU1131,Q10778,1,132.41,1
STU1376,Q10121,1,68.58,1
STU1296,Q10535,1,43.09,1
STU1355,Q10013,1,55.68,2
STU1331,Q10248,1,48.81,1
STU1396,Q10979,0,542.51,1
STU1341,Q10904,1,130.39,1
STU1164,Q10426,1,70.31,3
STU1099,Q10760,1,107.45,1
STU1025,Q10216,1,77.94,2
STU1374,Q10354,1,68.98,1
STU1086,Q10011,0,512.69,2
STU1081,Q10627,1,47.42,1
STU1353,Q10116,1,106.14,1
STU1105,Q10418,1,90.46,1
STU1252,Q10982,1,79.04,2
STU1162,Q10841,0,407.95,1
STU1449,Q10766,1,60.12,1
STU1423,Q10761,1,60.71,1
STU1127,Q10359,0,201.58,3
STU1292,Q10616,1,60.83,1
STU1031,Q10313,0,318.0,1
STU1395,Q10897,1,45.85,1
STU1175,Q10233,1,82.04,1
STU1471,Q10310,0,8.78,1
STU1129,Q10720,0,24.45,3
STU1354,Q10856,1,42.16,1
STU1160,Q10613,1,66.16,3
STU1378,Q10877,0,16.53,1
STU1173,Q10100,1,72.65,2
STU1330,Q10645,1,68.63,1
STU1328,Q10385,1,110.54,1
STU1367,Q10878,0,24.49,1
STU1214,Q10359,0,9.24,3
STU1365,Q10675,1,26.28,1
STU1008,Q10585,1,43.08,1
STU1398,Q10185,1,89.95,3
STU1276,Q10729,1,55.99,3
STU1443,Q10962,0,261.7,1
STU1146,Q10026,1,83.16,1
STU1214,Q10613,0,391.09,2
STU1056,Q10667,0,207.18,3
STU1055,Q10543,1,82.67,1
STU1444,Q10948,1,70.1,3
STU1167,Q10815,1,114.17,1
STU1009,Q10775,1,97.82,1
STU1485,Q10228,1,78.02,1
STU1002,Q10655,1,28.53,3
STU1340,Q10072,1,88.85,1
STU1103,Q10191,1,62.3,3
STU1444,Q10045,1,81.53,3
STU1171,Q10784,0,9.82,3
STU1370,Q10544,1,104.05,1
STU1173,Q10301,0,434.69,1
STU1219,Q10168,1,40.93,1
STU1058,Q10529,1,72.45,1
STU1219,Q10335,0,141.58,1
STU1441,Q10704,1,87.61,1
STU1472,Q10574,0,8.49,1
STU1407,Q10855,1,71.1,1
STU1393,Q10857,0,14.78,4
STU1314,Q10677,0,19.96,4
STU1038,Q10916,0,540.68,2
STU1433,Q10634,0,12.26,3
STU1039,Q10270,0,23.13,1
STU1139,Q10365,1,44.08,1
STU1040,Q10066,0,23.5,2
STU1161,Q10018,0,25.15,1
STU1041,Q10014,0,14.68,2
STU1419,Q10428,1,109.4,1
STU1170,Q10936,1,128.92,1
STU1421,Q10717,1,126.48,1
STU1129,Q10910,0,285.0,1
STU1327,Q10950,1,105.55,2
STU1466,Q10046,1,67.03,1
STU1211,Q10400,1,37.04,1
STU1146,Q10105,1,35.38,3
STU1141,Q10846,1,62.96,1
STU1150,Q10958,1,98.85,2
STU1486,Q10233,1,39.97,2
STU1161,Q10846,1,24.56,1
STU1021,Q10166,0,385.62,1
STU1409,Q10057,1,86.71,1
STU1083,Q10576,1,117.97,1
STU1308,Q10561,0,17.3,1
STU1225,Q10233,1,36.56,1
STU1139,Q10399,0,18.49,2
STU1206,Q10952,1,39.02,1
STU1050,Q10374,1,43.4,2
STU1378,Q10882,0,10.88,1
STU1360,Q10565,1,48.6,2
STU1314,Q10065,1,74.35,1
STU1313,Q10838,1,31.81,1
STU1082,Q10846,1,65.78,1
STU1071,Q10511,0,26.35,2
STU1436,Q10058,0,368.3,1
STU1083,Q10727,1,57.19,1
STU1384,Q10674,1,39.49,1
STU1378,Q10464,0,15.56,1
STU1261,Q10601,1,129.0,3
STU1255,Q10230,1,51.22,3
STU1258,Q10063,1,59.66,1
STU1271,Q10983,1,83.38,2
STU1484,Q10987,0,22.64,1
STU1001,Q10240,1,61.56,1
STU1482,Q10232,1,117.37,1
STU1000,Q10165,1,48.34,1
STU1049,Q10404,0,25.7,1
STU1162,Q10580,1,53.54,1
STU1275,Q10562,0,149.56,1
STU1138,Q10539,1,69.08,1
STU1196,Q10880,0,13.39,4
STU1310,Q10625,1,79.71,1
STU1038,Q10593,1,33.25,1
STU1084,Q10016,0,16.5,4
STU1326,Q10118,1,133.27,3
STU1099,Q10332,0,338.7,1
STU1357,Q10233,1,57.07,1
STU1312,Q10410,1,62.96,1
STU1005,Q10476,1,93.06,3
STU1418,Q10731,1,149.88,1
STU1095,Q10680,0,12.49,2
STU1082,Q10060,0,21.4,1
STU1106,Q10123,1,85.06,3
STU1454,Q10655,0,15.0,3
STU1054,Q10483,0,181.13,3
STU1144,Q10748,0,201.42,3
STU1248,Q10389,1,56.68,1
STU1116,Q10107,1,67.53,1
STU1192,Q10569,0,11.94,2
STU1082,Q10099,1,145.42,1
STU1231,Q10182,1,80.54,1
STU1035,Q10480,1,31.18,1
STU1428,Q10678,1,84.71,1
STU1135,Q10576,1,58.9,3
STU1067,Q10754,0,23.08,3
STU1239,Q10762,0,18.58,1
STU1263,Q10565,0,20.23,1
STU1095,Q10758,1,76.52,1
STU1121,Q10803,1,52.6,1
STU1402,Q10156,1,87.34,1
STU1363,Q10199,1,131.46,1
STU1431,Q10882,1,109.13,1
STU1317,Q10549,1,59.06,3
STU1058,Q10618,0,17.33,4
STU1149,Q10107,1,73.66,3
STU1418,Q10881,0,11.71,2
STU1182,Q10927,1,30.29,1
STU1154,Q10638,0,269.49,1
STU1035,Q10884,1,125.17,3
STU1274,Q10199,1,146.1,2
STU1158,Q10943,0,21.79,1
STU1025,Q10481,0,244.52,4
STU1229,Q10036,1,42.56,1
STU1009,Q10933,0,204.9,2
STU1403,Q10700,1,78.01,1
STU1097,Q10614,1,40.17,1
STU1103,Q10985,1,53.43,1
STU1436,Q10166,1,76.44,1
STU1056,Q10151,1,28.74,3
STU1342,Q10004,1,59.83,1
STU1173,Q10571,1,76.29,1
STU1218,Q10181,1,88.76,1
STU1049,Q10786,1,47.2,1
STU1080,Q10609,1,91.87,1
STU1084,Q10047,1,91.95,1
STU1388,Q10804,1,55.92,1
STU1368,Q10385,1,113.84,1
STU1315,Q10098,0,472.46,2
STU1015,Q10408,1,144.58,1
STU1237,Q10902,1,52.35,1
STU1126,Q10972,1,84.08,3
STU1322,Q10302,1,40.18,1
STU1422,Q10480,1,102.98,1
STU1414,Q10755,1,83.0,2
STU1417,Q10054,0,26.3,4
STU1288,Q10591,1,83.86,3
STU1237,Q10118,1,67.0,1
STU1411,Q10099,1,89.5,1
STU1243,Q10248,0,22.22,4
STU1343,Q10565,0,16.42,1
STU1032,Q10857,0,21.12,2
STU1176,Q10596,0,21.35,4
STU1384,Q10500,1,39.25,1
STU1320,Q10004,0,33.83,2
STU1081,Q10453,1,89.93,2
STU1144,Q10958,0,275.21,4
STU1153,Q10902,0,11.33,1
STU1157,Q10092,0,25.46,1
STU1196,Q10709,1,70.22,1
STU1015,Q10080,0,22.14,1
STU1172,Q10900,0,359.09,3
STU1186,Q10024,1,90.34,1
STU1019,Q10029,1,106.51,1
STU1088,Q10907,0,7.55,4
STU1097,Q10980,0,254.5,1
STU1015,Q10610,0,265.7,2
STU1354,Q10125,1,82.63,1
STU1491,Q10027,0,20.33,1
STU1082,Q10785,0,25.93,1
STU1311,Q10442,1,61.37,3
STU1083,Q10608,1,100.7,1
STU1498,Q10356,1,36.05,1
STU1050,Q10870,0,28.19,1
STU1435,Q10447,0,436.46,1
STU1096,Q10943,0,24.68,3
STU1147,Q10089,0,13.71,1
STU1036,Q10529,0,11.77,4
STU1305,Q10624,1,46.8,1
STU1086,Q10962,0,149.53,2
STU1255,Q10502,1,92.9,1
STU1035,Q10311,0,380.48,1
STU1484,Q10635,0,332.61,1
STU1049,Q10345,0,32.23,1
STU1497,Q10228,1,71.57,1
STU1461,Q10176,1,105.6,1
STU1422,Q10340,1,85.95,1
STU1450,Q10427,0,425.5,4
STU1169,Q10796,0,21.94,1
STU1189,Q10827,0,31.7,4
STU1303,Q10404,1,51.74,1
STU1415,Q10020,0,24.85,1
STU1360,Q10192,1,124.8,3
STU1455,Q10747,1,104.75,1
STU1148,Q10457,0,23.11,2
STU1383,Q10702,1,88.99,1
STU1343,Q10157,1,103.1,1
STU1431,Q10487,0,11.89,2
STU1135,Q10767,1,67.32,1
STU1327,Q10307,1,63.87,1
STU1279,Q10064,1,82.46,1
STU1041,Q10106,1,55.86,1
STU1446,Q10581,1,84.92,1
STU1216,Q10761,0,15.2,1
STU1148,Q10018,1,128.57,2
STU1262,Q10070,1,25.15,1
STU1286,Q10042,0,16.37,1
STU1110,Q10600,1,95.72,1
STU1239,Q10819,1,62.98,1
STU1238,Q10498,1,77.09,1
STU1381,Q10924,1,94.77,1
STU1478,Q10986,0,19.01,4
STU1351,Q10047,1,71.27,2
STU1135,Q10646,1,70.1,1
STU1251,Q10536,1,117.09,3
STU1150,Q10726,1,53.38,1
STU1012,Q10453,1,114.64,3
STU1303,Q10520,0,188.92,3
STU1425,Q10980,1,94.7,2
STU1487,Q10739,0,6.27,1
STU1025,Q10159,0,178.94,3
STU1348,Q10536,1,33.76,1
STU1062,Q10295,1,36.97,1
STU1200,Q10547,1,118.64,2
STU1021,Q10726,1,72.45,1
STU1346,Q10118,1,55.08,2
STU1025,Q10793,0,23.2,2
STU1259,Q10420,1,39.12,1
STU1157,Q10214,1,147.34,1
STU1417,Q10754,1,81.97,1
STU1033,Q10089,1,72.1,1
STU1457,Q10030,1,33.43,1
STU1488,Q10597,1,120.42,3
STU1174,Q10844,1,32.49,1
STU1297,Q10410,1,62.74,1
STU1214,Q10276,1,97.38,1
STU1056,Q10163,0,11.07,2
STU1311,Q10121,0,264.44,3
