question_id,concept_id,question_text,difficulty,correct_answer
Q10101,C1008,Explain the concept of Logistic Regression.,Hard,Requires understanding of underlying mathematics in Logistic Regression
Q10102,C1008,Explain the concept of Logistic Regression.,Easy,The fundamental concept of Logistic Regression
Q10103,C1008,Explain the concept of Logistic Regression.,Medium,Uses mathematical optimization for Logistic Regression
Q10104,C1008,Explain the concept of Logistic Regression.,Medium,Uses mathematical optimization for Logistic Regression
Q10105,C1008,Explain the concept of Logistic Regression.,Medium,Uses mathematical optimization for Logistic Regression
Q10106,C1013,Explain the concept of Gradient Boosting.,Easy,The fundamental concept of Gradient Boosting
Q10107,C1013,Explain the concept of Gradient Boosting.,Medium,Uses mathematical optimization for Gradient Boosting
Q10108,C1013,Explain the concept of Gradient Boosting.,Easy,The fundamental concept of Gradient Boosting
Q10109,C1013,Explain the concept of Gradient Boosting.,Easy,The fundamental concept of Gradient Boosting
Q10110,C1014,Explain the concept of Naive Bayes.,Medium,Uses mathematical optimization for Naive Bayes
Q10111,C1014,Explain the concept of Naive Bayes.,Easy,The fundamental concept of Naive Bayes
Q10112,C1012,Explain the concept of Random Forests.,Hard,Requires understanding of underlying mathematics in Random Forests
Q10113,C1012,Explain the concept of Random Forests.,Medium,Uses mathematical optimization for Random Forests
Q10114,C1012,Explain the concept of Random Forests.,Hard,Requires understanding of underlying mathematics in Random Forests
Q10115,C1012,Explain the concept of Random Forests.,Medium,Uses mathematical optimization for Random Forests
Q10116,C1011,Explain the concept of Support Vector Machines.,Hard,Requires understanding of underlying mathematics in Support Vector Machines
Q10117,C1011,Explain the concept of Support Vector Machines.,Hard,Requires understanding of underlying mathematics in Support Vector Machines
Q10118,C1011,Explain the concept of Support Vector Machines.,Easy,The fundamental concept of Support Vector Machines
Q10119,C1011,Explain the concept of Support Vector Machines.,Easy,The fundamental concept of Support Vector Machines
Q10120,C1018,Explain the concept of DBSCAN.,Medium,Uses mathematical optimization for DBSCAN
Q10121,C1018,Explain the concept of DBSCAN.,Medium,Uses mathematical optimization for DBSCAN
Q10122,C1034,Explain the concept of Ensemble Methods.,Medium,Uses mathematical optimization for Ensemble Methods
Q10123,C1034,Explain the concept of Ensemble Methods.,Medium,Uses mathematical optimization for Ensemble Methods
Q10124,C1034,Explain the concept of Ensemble Methods.,Easy,The fundamental concept of Ensemble Methods
Q10125,C1034,Explain the concept of Ensemble Methods.,Hard,Requires understanding of underlying mathematics in Ensemble Methods
Q10126,C1034,Explain the concept of Ensemble Methods.,Hard,Requires understanding of underlying mathematics in Ensemble Methods
Q10127,C1017,Explain the concept of Hierarchical Clustering.,Hard,Requires understanding of underlying mathematics in Hierarchical Clustering
Q10128,C1017,Explain the concept of Hierarchical Clustering.,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10129,C1017,Explain the concept of Hierarchical Clustering.,Easy,The fundamental concept of Hierarchical Clustering
Q10130,C1017,Explain the concept of Hierarchical Clustering.,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10131,C1016,Explain the concept of K-Means Clustering.,Easy,The fundamental concept of K-Means Clustering
Q10132,C1016,Explain the concept of K-Means Clustering.,Medium,Uses mathematical optimization for K-Means Clustering
Q10133,C1016,Explain the concept of K-Means Clustering.,Medium,Uses mathematical optimization for K-Means Clustering
Q10134,C1033,Explain the concept of Model Evaluation.,Medium,Uses mathematical optimization for Model Evaluation
Q10135,C1033,Explain the concept of Model Evaluation.,Easy,The fundamental concept of Model Evaluation
Q10136,C1015,Explain the concept of Principal Component Analysis.,Medium,Uses mathematical optimization for Principal Component Analysis
Q10137,C1015,Explain the concept of Principal Component Analysis.,Easy,The fundamental concept of Principal Component Analysis
Q10138,C1015,Explain the concept of Principal Component Analysis.,Medium,Uses mathematical optimization for Principal Component Analysis
Q10139,C1015,Explain the concept of Principal Component Analysis.,Easy,The fundamental concept of Principal Component Analysis
Q10140,C1015,List Principal Component Analysis?,Easy,The fundamental concept of Principal Component Analysis
Q10141,C1032,Explain the working mechanism of Cross-Validation?,Medium,Uses mathematical optimization for Cross-Validation
Q10142,C1012,Define Random Forests?,Easy,The fundamental concept of Random Forests
Q10143,C1005,How does the working mechanism of Distance Metrics?,Medium,Uses mathematical optimization for Distance Metrics
Q10144,C1008,Explain the advantages of Logistic Regression?,Medium,Uses mathematical optimization for Logistic Regression
Q10145,C1001,Explain central limit theorem.,Medium,Uses mathematical optimization for Probability
Q10146,C1017,What is Hierarchical Clustering?,Easy,The fundamental concept of Hierarchical Clustering
Q10147,C1027,True or False: Transformers?,Easy,The fundamental concept of Transformers
Q10148,C1024,Evaluate the optimization of LSTM Networks in practical applications?,Hard,Requires understanding of underlying mathematics in LSTM Networks
Q10149,C1021,Analyze the mathematical foundation of Backpropagation in practical applications?,Hard,Requires understanding of underlying mathematics in Backpropagation
Q10150,C1029,Describe the limitations of GPT Models?,Medium,Uses mathematical optimization for GPT Models
Q10151,C1007,Compare OLS vs gradient descent.,Hard,Requires understanding of underlying mathematics in Linear Regression
Q10152,C1005,Compare the working mechanism of Distance Metrics?,Medium,Uses mathematical optimization for Distance Metrics
Q10153,C1009,Explain information gain calculation.,Medium,Uses mathematical optimization for Decision Trees
Q10154,C1024,What is LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10155,C1007,How do you handle multicollinearity?,Medium,Uses mathematical optimization for Linear Regression
Q10156,C1009,How does a decision tree split data?,Easy,The fundamental concept of Decision Trees
Q10157,C1031,List Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10158,C1013,Compare the advantages of Gradient Boosting?,Medium,Uses mathematical optimization for Gradient Boosting
Q10159,C1010,Compare the working mechanism of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10160,C1018,Describe the advantages of DBSCAN?,Medium,Uses mathematical optimization for DBSCAN
Q10161,C1016,List K-Means Clustering?,Easy,The fundamental concept of K-Means Clustering
Q10162,C1024,List LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10163,C1022,Explain stride and padding.,Medium,Uses mathematical optimization for Convolutional Neural Networks
Q10164,C1009,What is Gini impurity?,Easy,The fundamental concept of Decision Trees
Q10165,C1023,List Recurrent Neural Networks?,Easy,The fundamental concept of Recurrent Neural Networks
Q10166,C1036,What is Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10167,C1028,What is BERT?,Easy,The fundamental concept of BERT
Q10168,C1015,Describe the working mechanism of Principal Component Analysis?,Medium,Uses mathematical optimization for Principal Component Analysis
Q10169,C1001,Explain central limit theorem.,Medium,Uses mathematical optimization for Probability
Q10170,C1026,List Generative Adversarial Networks?,Easy,The fundamental concept of Generative Adversarial Networks
Q10171,C1022,Why use CNNs for images?,Easy,The fundamental concept of Convolutional Neural Networks
Q10172,C1037,Evaluate the mathematical foundation of Neural Architecture Search in practical applications?,Hard,Requires understanding of underlying mathematics in Neural Architecture Search
Q10173,C1029,Describe the working mechanism of GPT Models?,Medium,Uses mathematical optimization for GPT Models
Q10174,C1010,How does the limitations of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10175,C1027,Calculate the working mechanism of Transformers?,Medium,Uses mathematical optimization for Transformers
Q10176,C1006,True or False: Attention Mechanism?,Easy,The fundamental concept of Attention Mechanism
Q10177,C1029,True or False: GPT Models?,Easy,The fundamental concept of GPT Models
Q10178,C1003,Evaluate the optimization of Statistics in practical applications?,Hard,Requires understanding of underlying mathematics in Statistics
Q10179,C1015,What is Principal Component Analysis?,Easy,The fundamental concept of Principal Component Analysis
Q10180,C1012,How does the limitations of Random Forests?,Medium,Uses mathematical optimization for Random Forests
Q10181,C1021,Design the implementation of Backpropagation in practical applications?,Hard,Requires understanding of underlying mathematics in Backpropagation
Q10182,C1023,Calculate the working mechanism of Recurrent Neural Networks?,Medium,Uses mathematical optimization for Recurrent Neural Networks
Q10183,C1002,True or False: Calculus?,Easy,The fundamental concept of Calculus
Q10184,C1035,Compare the advantages of Self-Supervised Learning?,Medium,Uses mathematical optimization for Self-Supervised Learning
Q10185,C1007,What is the assumption about errors?,Easy,The fundamental concept of Linear Regression
Q10186,C1012,Identify Random Forests?,Easy,The fundamental concept of Random Forests
Q10187,C1030,Design the optimization of Diffusion Models in practical applications?,Hard,Requires understanding of underlying mathematics in Diffusion Models
Q10188,C1022,What is pooling?,Easy,The fundamental concept of Convolutional Neural Networks
Q10189,C1014,What is Naive Bayes?,Easy,The fundamental concept of Naive Bayes
Q10190,C1003,Compare the advantages of Statistics?,Medium,Uses mathematical optimization for Statistics
Q10191,C1017,Calculate the advantages of Hierarchical Clustering?,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10192,C1020,Calculate the working mechanism of Activation Functions?,Medium,Uses mathematical optimization for Activation Functions
Q10193,C1000,"What is the dot product of vectors [1,2] and [3,4]?",Easy,ad-bc
Q10194,C1004,List Python Programming?,Easy,The fundamental concept of Python Programming
Q10195,C1028,True or False: BERT?,Easy,The fundamental concept of BERT
Q10196,C1015,Define Principal Component Analysis?,Easy,The fundamental concept of Principal Component Analysis
Q10197,C1010,Compare the advantages of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10198,C1038,Identify Meta Learning?,Easy,The fundamental concept of Meta Learning
Q10199,C1003,Identify Statistics?,Easy,The fundamental concept of Statistics
Q10200,C1031,True or False: Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10201,C1021,Derive the optimization of Backpropagation in practical applications?,Hard,Requires understanding of underlying mathematics in Backpropagation
Q10202,C1025,Describe the limitations of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10203,C1026,Analyze the mathematical foundation of Generative Adversarial Networks in practical applications?,Hard,Requires understanding of underlying mathematics in Generative Adversarial Networks
Q10204,C1000,Explain the difference between rank and nullity.,Medium,Solve det(A-λI)=0
Q10205,C1028,Evaluate the optimization of BERT in practical applications?,Hard,Requires understanding of underlying mathematics in BERT
Q10206,C1038,Compare the limitations of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10207,C1005,What is Distance Metrics?,Easy,The fundamental concept of Distance Metrics
Q10208,C1018,Define DBSCAN?,Easy,The fundamental concept of DBSCAN
Q10209,C1025,Identify Autoencoders?,Easy,The fundamental concept of Autoencoders
Q10210,C1027,Evaluate the optimization of Transformers in practical applications?,Hard,Requires understanding of underlying mathematics in Transformers
Q10211,C1036,Describe the limitations of Explainable AI?,Medium,Uses mathematical optimization for Explainable AI
Q10212,C1006,Design the mathematical foundation of Attention Mechanism in practical applications?,Hard,Requires understanding of underlying mathematics in Attention Mechanism
Q10213,C1038,Describe the working mechanism of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10214,C1034,True or False: Ensemble Methods?,Easy,The fundamental concept of Ensemble Methods
Q10215,C1025,Prove the optimization of Autoencoders in practical applications?,Hard,Requires understanding of underlying mathematics in Autoencoders
Q10216,C1009,Compare ID3 vs C4.5 vs CART.,Hard,Requires understanding of underlying mathematics in Decision Trees
Q10217,C1031,What is Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10218,C1024,Calculate the limitations of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10219,C1028,Define BERT?,Easy,The fundamental concept of BERT
Q10220,C1019,What is vanishing gradient problem?,Medium,Chain rule application
Q10221,C1031,Identify Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10222,C1014,List Naive Bayes?,Easy,The fundamental concept of Naive Bayes
Q10223,C1012,True or False: Random Forests?,Easy,The fundamental concept of Random Forests
Q10224,C1030,Explain the working mechanism of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10225,C1029,Evaluate the implementation of GPT Models in practical applications?,Hard,Requires understanding of underlying mathematics in GPT Models
Q10226,C1017,True or False: Hierarchical Clustering?,Easy,The fundamental concept of Hierarchical Clustering
Q10227,C1038,Compare the working mechanism of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10228,C1029,How does the limitations of GPT Models?,Medium,Uses mathematical optimization for GPT Models
Q10229,C1009,Explain information gain calculation.,Medium,Uses mathematical optimization for Decision Trees
Q10230,C1030,What is Diffusion Models?,Easy,The fundamental concept of Diffusion Models
Q10231,C1035,List Self-Supervised Learning?,Easy,The fundamental concept of Self-Supervised Learning
Q10232,C1021,Compare the limitations of Backpropagation?,Medium,Uses mathematical optimization for Backpropagation
Q10233,C1020,True or False: Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10234,C1030,True or False: Diffusion Models?,Easy,The fundamental concept of Diffusion Models
Q10235,C1023,Describe the advantages of Recurrent Neural Networks?,Medium,Uses mathematical optimization for Recurrent Neural Networks
Q10236,C1035,Identify Self-Supervised Learning?,Easy,The fundamental concept of Self-Supervised Learning
Q10237,C1026,List Generative Adversarial Networks?,Easy,The fundamental concept of Generative Adversarial Networks
Q10238,C1038,Identify Meta Learning?,Easy,The fundamental concept of Meta Learning
Q10239,C1022,Why use CNNs for images?,Easy,The fundamental concept of Convolutional Neural Networks
Q10240,C1007,What is the objective function in linear regression?,Easy,The fundamental concept of Linear Regression
Q10241,C1009,How to prevent overfitting in decision trees?,Medium,Uses mathematical optimization for Decision Trees
Q10242,C1001,What is P(A|B) formula?,Easy,The fundamental concept of Probability
Q10243,C1013,How does the advantages of Gradient Boosting?,Medium,Uses mathematical optimization for Gradient Boosting
Q10244,C1016,Derive the implementation of K-Means Clustering in practical applications?,Hard,Requires understanding of underlying mathematics in K-Means Clustering
Q10245,C1025,How does the advantages of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10246,C1020,Explain the limitations of Activation Functions?,Medium,Uses mathematical optimization for Activation Functions
Q10247,C1009,Analyze time complexity of decision trees.,Hard,Requires understanding of underlying mathematics in Decision Trees
Q10248,C1038,Describe the working mechanism of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10249,C1033,Identify Model Evaluation?,Easy,The fundamental concept of Model Evaluation
Q10250,C1009,How does a decision tree split data?,Easy,The fundamental concept of Decision Trees
Q10251,C1001,Explain central limit theorem.,Medium,Uses mathematical optimization for Probability
Q10252,C1012,List Random Forests?,Easy,The fundamental concept of Random Forests
Q10253,C1007,What is the objective function in linear regression?,Easy,The fundamental concept of Linear Regression
Q10254,C1037,Explain the working mechanism of Neural Architecture Search?,Medium,Uses mathematical optimization for Neural Architecture Search
Q10255,C1030,Explain the limitations of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10256,C1017,What is Hierarchical Clustering?,Easy,The fundamental concept of Hierarchical Clustering
Q10257,C1003,Evaluate the implementation of Statistics in practical applications?,Hard,Requires understanding of underlying mathematics in Statistics
Q10258,C1018,Explain the advantages of DBSCAN?,Medium,Uses mathematical optimization for DBSCAN
Q10259,C1003,Compare the limitations of Statistics?,Medium,Uses mathematical optimization for Statistics
Q10260,C1017,Compare the limitations of Hierarchical Clustering?,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10261,C1010,What is K-Nearest Neighbors?,Easy,The fundamental concept of K-Nearest Neighbors
Q10262,C1008,Explain the limitations of Logistic Regression?,Medium,Uses mathematical optimization for Logistic Regression
Q10263,C1013,Evaluate the optimization of Gradient Boosting in practical applications?,Hard,Requires understanding of underlying mathematics in Gradient Boosting
Q10264,C1016,True or False: K-Means Clustering?,Easy,The fundamental concept of K-Means Clustering
Q10265,C1021,How does the limitations of Backpropagation?,Medium,Uses mathematical optimization for Backpropagation
Q10266,C1035,Explain the working mechanism of Self-Supervised Learning?,Medium,Uses mathematical optimization for Self-Supervised Learning
Q10267,C1003,True or False: Statistics?,Easy,The fundamental concept of Statistics
Q10268,C1007,What is R-squared?,Medium,Uses mathematical optimization for Linear Regression
Q10269,C1028,Identify BERT?,Easy,The fundamental concept of BERT
Q10270,C1007,What does the coefficient represent?,Easy,The fundamental concept of Linear Regression
Q10271,C1036,Evaluate the optimization of Explainable AI in practical applications?,Hard,Requires understanding of underlying mathematics in Explainable AI
Q10272,C1038,List Meta Learning?,Easy,The fundamental concept of Meta Learning
Q10273,C1024,True or False: LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10274,C1006,Calculate the limitations of Attention Mechanism?,Medium,Uses mathematical optimization for Attention Mechanism
Q10275,C1014,True or False: Naive Bayes?,Easy,The fundamental concept of Naive Bayes
Q10276,C1019,Compare sigmoid vs ReLU.,Medium,Chain rule application
Q10277,C1015,Calculate the advantages of Principal Component Analysis?,Medium,Uses mathematical optimization for Principal Component Analysis
Q10278,C1030,Describe the working mechanism of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10279,C1000,"What is the determinant of a 2x2 matrix [[a,b],[c,d]]?",Easy,ad-bc
Q10280,C1007,What is the objective function in linear regression?,Easy,The fundamental concept of Linear Regression
Q10281,C1025,Analyze the mathematical foundation of Autoencoders in practical applications?,Hard,Requires understanding of underlying mathematics in Autoencoders
Q10282,C1029,Identify GPT Models?,Easy,The fundamental concept of GPT Models
Q10283,C1007,Compare OLS vs gradient descent.,Hard,Requires understanding of underlying mathematics in Linear Regression
Q10284,C1014,Compare the advantages of Naive Bayes?,Medium,Uses mathematical optimization for Naive Bayes
Q10285,C1032,Describe the advantages of Cross-Validation?,Medium,Uses mathematical optimization for Cross-Validation
Q10286,C1010,True or False: K-Nearest Neighbors?,Easy,The fundamental concept of K-Nearest Neighbors
Q10287,C1038,Describe the advantages of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10288,C1029,Derive the implementation of GPT Models in practical applications?,Hard,Requires understanding of underlying mathematics in GPT Models
Q10289,C1027,Analyze the optimization of Transformers in practical applications?,Hard,Requires understanding of underlying mathematics in Transformers
Q10290,C1011,What is Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10291,C1021,Calculate the limitations of Backpropagation?,Medium,Uses mathematical optimization for Backpropagation
Q10292,C1008,Calculate the limitations of Logistic Regression?,Medium,Uses mathematical optimization for Logistic Regression
Q10293,C1022,Explain receptive field calculation.,Hard,Requires understanding of underlying mathematics in Convolutional Neural Networks
Q10294,C1012,Describe the advantages of Random Forests?,Medium,Uses mathematical optimization for Random Forests
Q10295,C1006,Analyze the mathematical foundation of Attention Mechanism in practical applications?,Hard,Requires understanding of underlying mathematics in Attention Mechanism
Q10296,C1010,Calculate the advantages of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
